geneid	chr	s1	s2
ING2|3622	chr4	184426220	184432249
ING3|54556	chr7	120590817	120615702
ING4|51147	chr12	6759705	6772308
ING5|84289	chr2	242641456	242668890
INGX|27160	chr23	70711378	70712604
INHA|3623	chr2	220436954	220440427
INHBA|3624	chr7	41728603	41742706
INHBB|3625	chr2	121103719	121109383
INHBC|3626	chr12	57828543	57844609
INHBE|83729	chr12	57849096	57851789
INMT|11185	chr7	30737601	30797218
INO80B|83444	chr2	74682199	74688010
INO80C|125476	chr18	33033290	33077955
INO80D|54891	chr2	206858446	206950906
INO80E|283899	chr16	30007531	30017112
INO80|54617	chr15	41271081	41408340
INPP1|3628	chr2	191208196	191236390
INPP4A|3631	chr2	99061321	99207495
INPP4B|8821	chr4	142949184	143767604
INPP5A|3632	chr10	134351353	134596983
INPP5B|3633	chr1	38326369	38412729
INPP5D|3635	chr2	233925036	234116548
INPP5E|56623	chr9	139323075	139334256
INPP5F|22876	chr10	121485609	121588658
INPP5J|27124	chr22	31503961	31530682
INPP5K|51763	chr17	1397872	1420182
INPPL1|3636	chr11	71935882	71950186
INS-IGF2|723961	chr11	2150348	2182439
INSC|387755	chr11	15133970	15268752
INSIG1|3638	chr7	155089486	155101942
INSIG2|51141	chr2	118846050	118867596
INSL3|3640	chr19	17927322	17932320
INSL4|3641	chr9	5231419	5233966
INSL5|10022	chr1	67263425	67266939
INSL6|11172	chr9	5163865	5185618
INSM1|3642	chr20	20348765	20351590
INSM2|84684	chr14	36003248	36006260
INSRR|3645	chr1	156810666	156828666
INSR|3643	chr19	7112266	7294011
INS|3630	chr11	2181009	2182439
INTS10|55174	chr8	19674918	19709584
INTS12|57117	chr4	106603787	106629881
INTS1|26173	chr7	1509913	1544018
INTS2|57508	chr17	59942729	60005377
INTS3|65123	chr1	153700549	153746557
INTS4L1|285905	chr7	64601603	64694599
INTS4L2|644619	chr7	65112777	65183632
INTS4|92105	chr11	77589768	77705717
INTS5|80789	chr11	62414322	62420774
INTS6|26512	chr13	51935702	52027275
INTS7|25896	chr1	212114698	212208884
INTS8|55656	chr8	95835534	95892720
INTS9|55756	chr8	28625180	28747698
INTU|27152	chr4	128554120	128637930
INVS|27130	chr9	102861511	103063426
IP6K1|9807	chr3	49761728	49823975
IP6K2|51447	chr3	48725437	48754920
IP6K3|117283	chr6	33689443	33714762
IPCEF1|26034	chr6	154475620	154677900
IPMK|253430	chr10	59955618	60027694
IPO11|51194	chr5	61699877	61924415
IPO13|9670	chr1	44412478	44433693
IPO4|79711	chr14	24649425	24659797
IPO5|3843	chr13	98605929	98676549
IPO7|10527	chr11	9406169	9469673
IPO8|10526	chr12	30781923	30848751
IPO9|55705	chr1	201798288	201853421
IPPK|64768	chr9	95375466	95432547
IPP|3652	chr1	46160000	46216485
IPW|3653	chr15	25304604	25420017
IQCA1|79781	chr2	237232794	237416092
IQCB1|9657	chr3	121488610	121553926
IQCC|55721	chr1	32671236	32674288
IQCD|115811	chr12	113633248	113658880
IQCE|23288	chr7	2598632	2654367
IQCF1|132141	chr3	51840729	51937386
IQCF2|389123	chr3	51895645	51897440
IQCF3|401067	chr3	51860890	51864876
IQCF5|389124	chr3	51907738	51909600
IQCF6|440956	chr3	51812578	51813009
IQCG|84223	chr3	197615947	197686886
IQCH|64799	chr15	67547188	67794139
IQCJ|654502	chr3	158787117	158983492
IQCK|124152	chr16	19727778	19868857
IQGAP1|8826	chr15	90931473	91045475
IQGAP2|10788	chr5	75699149	76003955
IQGAP3|128239	chr1	156495198	156542396
IQSEC1|9922	chr3	12938719	13114617
IQSEC2|23096	chr23	53262059	53350522
IQSEC3|440073	chr12	176203	286322
IQUB|154865	chr7	123092238	123174718
IRAK1BP1|134728	chr6	79577189	79656157
IRAK1|3654	chr23	153275957	153285342
IRAK2|3656	chr3	10206563	10285427
IRAK3|11213	chr12	66582978	66648392
IRAK4|51135	chr12	44152747	44183346
IREB2|3658	chr15	78730518	78793798
IRF1|3659	chr5	131776132	131831259
IRF2BP1|26145	chr19	46386866	46389376
IRF2BP2|359948	chr1	234740017	234745271
IRF2|3660	chr4	185308878	185395726
IRF3|3661	chr19	50162829	50169132
IRF4|3662	chr6	391752	411442
IRF5|3663	chr7	128577769	128590086
IRF6|3664	chr1	209961262	209979482
IRF7|3665	chr11	612556	615999
IRF8|3394	chr16	85932774	85956209
IRF9|10379	chr14	24630422	24635772
IRGC|56269	chr19	44220214	44224167
IRGM|345611	chr5	150226085	150280295
IRGQ|126298	chr19	44088519	44100287
IRS1|3667	chr2	227596034	227663506
IRS2|8660	chr13	110406186	110438914
IRS4|8471	chr23	107975727	107979607
IRX1|79192	chr5	3596168	3601516
IRX2|153572	chr5	2746281	2751769
IRX3|79191	chr16	54317212	54320378
IRX4|50805	chr5	1877541	1882880
IRX5|10265	chr16	54965111	54968393
IRX6|79190	chr16	55358471	55364671
ISCA1P1|389293	chr5	62071202	62073170
ISCA1|81689	chr9	88879464	88897490
ISCA2|122961	chr14	74960450	74962271
ISCU|23479	chr12	108956294	108963158
ISG15|9636	chr1	948847	949915
ISG20L2|81875	chr1	156692413	156698211
ISG20|3669	chr15	89178904	89198879
ISL1|3670	chr5	50678958	50690557
ISL2|64843	chr15	76629147	76634816
ISLR2|57611	chr15	74421715	74429141
ISLR|3671	chr15	74466087	74469212
ISM1|140862	chr20	13202418	13281297
ISM2|145501	chr14	77940740	77965210
ISOC1|51015	chr5	128430442	128449717
ISOC2|79763	chr19	55964348	55973049
ISPD|729920	chr7	16127152	16460947
ISX|91464	chr22	35462129	35483378
ISY1|57461	chr3	128848235	128880029
ISYNA1|51477	chr19	18545625	18548943
ITCH|83737	chr20	32951062	33099197
ITFG1|81533	chr16	47189300	47495135
ITFG2|55846	chr12	2921863	2939770
ITFG3|83986	chr16	284801	319942
ITGA10|8515	chr1	145524990	145543867
ITGA11|22801	chr15	68594050	68724492
ITGA1|3672	chr5	52083774	52249484
ITGA2B|3674	chr17	42449550	42466873
ITGA2|3673	chr5	52285156	52390608
ITGA3|3675	chr17	48133340	48167848
ITGA4|3676	chr2	182321619	182402466
ITGA5|3678	chr12	54789047	54813050
ITGA6|3655	chr2	173292082	173371181
ITGA7|3679	chr12	56078356	56106089
ITGA8|8516	chr10	15559088	15761770
ITGA9|3680	chr3	37493813	37861279
ITGAD|3681	chr16	31404633	31437826
ITGAE|3682	chr17	3617920	3704537
ITGAL|3683	chr16	30483983	30534505
ITGAM|3684	chr16	31271288	31344211
ITGAV|3685	chr2	187454790	187545627
ITGAX|3687	chr16	31366509	31394318
ITGB1BP1|9270	chr2	9545823	9563643
ITGB1BP2|26548	chr23	70521628	70525204
ITGB1BP3|27231	chr19	3933101	3942412
ITGB1|3688	chr10	33189248	33247293
ITGB2|3689	chr21	46305868	46348753
ITGB3BP|23421	chr1	63906462	63988835
ITGB3|3690	chr17	45331208	45421658
ITGB4|3691	chr17	73717516	73753898
ITGB5|3693	chr3	124481796	124606144
ITGB6|3694	chr2	160956184	161128399
ITGB7|3695	chr12	53585108	53601000
ITGB8|3696	chr7	20370325	20455378
ITGBL1|9358	chr13	102104966	102371131
ITIH1|3697	chr3	52811608	52826077
ITIH2|3698	chr10	7745236	7791482
ITIH3|3699	chr3	52828784	52843025
ITIH4|3700	chr3	52847007	52866554
ITIH5L|347365	chr23	54775332	54824673
ITIH5|80760	chr10	7601636	7708934
ITK|3702	chr5	156607907	156682109
ITLN1|55600	chr1	160846332	160854960
ITLN2|142683	chr1	160914817	160924589
ITM2A|9452	chr23	78615883	78623047
ITM2B|9445	chr13	48807274	48836232
ITM2C|81618	chr2	231729621	231743962
ITPA|3704	chr20	3190056	3204504
ITPK1|3705	chr14	93403259	93582263
ITPKA|3706	chr15	41786122	41795745
ITPKB|3707	chr1	226819392	226926876
ITPKC|80271	chr19	41223008	41246763
ITPR1|3708	chr3	4535034	4889286
ITPR2|3709	chr12	26488287	26986131
ITPR3|3710	chr6	33589161	33664346
ITPRIPL1|150771	chr2	96991062	96994090
ITPRIPL2|162073	chr16	19125254	19132948
ITPRIP|85450	chr10	106071901	106098162
ITSN1|6453	chr21	35014784	35261609
ITSN2|50618	chr2	24425735	24583397
IVD|3712	chr15	40697686	40713512
IVL|3713	chr1	152881039	152884361
IVNS1ABP|10625	chr1	185265524	185286461
IWS1|55677	chr2	128238383	128284087
IYD|389434	chr6	150690028	150725764
IZUMO1|284359	chr19	49244147	49250166
JAG1|182	chr20	10618332	10654694
JAG2|3714	chr14	105608077	105635161
JAGN1|84522	chr3	9932271	9936029
JAK1|3716	chr1	65298906	65432619
JAK2|3717	chr9	4985086	5128182
JAK3|3718	chr19	17935595	17958841
JAKMIP1|152789	chr4	6027926	6202318
JAKMIP2|9832	chr5	146970706	147162252
JAKMIP3|282973	chr10	133918313	133998312
JAM2|58494	chr21	27011589	27087235
JAM3|83700	chr11	133938820	134021649
JARID2|3720	chr6	15245734	15522252
JAZF1|221895	chr7	27870196	28220437
JDP2|122953	chr14	75894509	75939402
JHDM1D|80853	chr7	139784548	139876741
JKAMP|51528	chr14	59951161	59972080
JMJD1C|221037	chr10	64926990	65225722
JMJD4|65094	chr1	227918891	227923112
JMJD5|79831	chr16	27214807	27233089
JMJD6|23210	chr17	74708914	74722881
JMJD7-PLA2G4B|8681	chr15	42120283	42140345
JMJD8|339123	chr16	731667	734439
JMY|133746	chr5	78531954	78623036
JOSD1|9929	chr22	39081549	39096459
JOSD2|126119	chr19	51009259	51014477
JPH1|56704	chr8	75146941	75233562
JPH2|57158	chr20	42740337	42816218
JPH3|57338	chr16	87635441	87731759
JPH4|84502	chr14	24037244	24048009
JRKL|8690	chr11	96123153	96126727
JRK|8629	chr8	143738875	143751401
JSRP1|126306	chr19	2252252	2256416
JTB|10899	chr1	153946747	153950451
JUB|84962	chr14	23440412	23451848
JUNB|3726	chr19	12902286	12905242
JUND|3727	chr19	18390563	18392432
JUN|3725	chr1	59246464	59249785
JUP|3728	chr17	39679870	39942964
KAAG1|353219	chr6	24357131	24358512
KAL1|3730	chr23	8496916	8700227
KALRN|8997	chr3	123752542	124440035
KANK1|23189	chr9	470294	746104
KANK2|25959	chr19	11274944	11308467
KANK3|256949	chr19	8387469	8408146
KANK4|163782	chr1	62701838	62785083
KARS|3735	chr16	75661624	75682541
KAT2A|2648	chr17	40265129	40273382
KAT2B|8850	chr3	20081524	20195894
KAT5|10524	chr11	65479489	65487074
KATNA1|11104	chr6	149916172	149969850
KATNAL1|84056	chr13	30776768	30881584
KATNAL2|83473	chr18	44497557	44628613
KATNB1|10300	chr16	57769660	57791162
KAZALD1|81621	chr10	102820999	102827886
KAZ|23254	chr1	14925213	15444543
KBTBD10|10324	chr2	170336006	170382772
KBTBD11|9920	chr8	1922044	1955108
KBTBD12|166348	chr3	127634318	127706513
KBTBD13|390594	chr15	65369154	65370529
KBTBD2|25948	chr7	32907778	32931468
KBTBD3|143879	chr11	105921826	105948465
KBTBD4|55709	chr11	47593750	47600567
KBTBD5|131377	chr3	42727011	42733938
KBTBD6|89890	chr13	41701709	41706936
KBTBD7|84078	chr13	41765711	41768702
KBTBD8|84541	chr3	67048727	67061630
KC6|641516	chr18	39060238	39100561
KCMF1|56888	chr2	85198231	85286594
KCNA10|3744	chr1	111059839	111061797
KCNA1|3736	chr12	5019073	5027420
KCNA2|3737	chr1	111136203	111174096
KCNA3|3738	chr1	111214310	111217655
KCNA4|3739	chr11	30031766	30038488
KCNA5|3741	chr12	5153085	5155948
KCNA6|3742	chr12	4918342	4960277
KCNA7|3743	chr19	49570676	49576198
KCNAB1|7881	chr3	155838337	156256927
KCNAB2|8514	chr1	6052766	6160523
KCNAB3|9196	chr17	7826027	7832753
KCNB1|3745	chr20	47988505	48100490
KCNB2|9312	chr8	73449626	73850582
KCNC1|3746	chr11	17757495	17804602
KCNC2|3747	chr12	75433897	75603511
KCNC3|3748	chr19	50815199	50832634
KCNC4|3749	chr1	110754065	110776665
KCND1|3750	chr23	48818639	48828251
KCND2|3751	chr7	119913722	120390387
KCND3|3752	chr1	112318454	112531777
KCNE1L|23630	chr23	108866931	108868393
KCNE1|3753	chr21	35818989	35884573
KCNE2|9992	chr21	35736323	35743440
KCNE3|10008	chr11	74165888	74178600
KCNE4|23704	chr2	223916862	223920353
KCNF1|3754	chr2	11052063	11054350
KCNG1|3755	chr20	49620194	49639675
KCNG2|26251	chr18	77623668	77659815
KCNG3|170850	chr2	42669159	42721237
KCNG4|93107	chr16	84255825	84273356
KCNH1|3756	chr1	210851657	211307457
KCNH2|3757	chr7	150642050	150675014
KCNH3|23416	chr12	49932940	49952077
KCNH4|23415	chr17	40308910	40333296
KCNH5|27133	chr14	63173947	63568584
KCNH6|81033	chr17	61600695	61626338
KCNH7|90134	chr2	163227917	163695240
KCNH8|131096	chr3	19190017	19577135
KCNIP1|30820	chr5	169780881	170163634
KCNIP2|30819	chr10	103585732	103603677
KCNIP3|30818	chr2	95963072	96051824
KCNIP4|80333	chr4	20730239	21950374
KCNJ10|3766	chr1	160008033	160039961
KCNJ11|3767	chr11	17406798	17410878
KCNJ12|3768	chr17	21279699	21323179
KCNJ13|3769	chr2	233630860	233641275
KCNJ14|3770	chr19	48958766	48969367
KCNJ15|3772	chr21	39628664	39673744
KCNJ16|3773	chr17	68071426	68131744
KCNJ1|3758	chr11	128707915	128737268
KCNJ2|3759	chr17	68164814	68176181
KCNJ3|3760	chr2	155555093	155713014
KCNJ4|3761	chr22	38822333	38851203
KCNJ5|3762	chr11	128761313	128787949
KCNJ6|3763	chr21	38996786	39288696
KCNJ8|3764	chr12	21917890	21927747
KCNJ9|3765	chr1	160051360	160059212
KCNK10|54207	chr14	88646454	88793256
KCNK12|56660	chr2	47747917	47797470
KCNK13|56659	chr14	90528108	90652195
KCNK15|60598	chr20	43374488	43379666
KCNK16|83795	chr6	39282475	39290330
KCNK17|89822	chr6	39266778	39282237
KCNK18|338567	chr10	118957000	118969809
KCNK1|3775	chr1	233749750	233808258
KCNK2|3776	chr1	215178885	215410435
KCNK3|3777	chr2	26915581	26954066
KCNK4|50801	chr11	64058793	64072238
KCNK5|8645	chr6	39156748	39197251
KCNK6|9424	chr19	38810484	38819643
KCNK7|10089	chr11	65360327	65363467
KCNK9|51305	chr8	140613082	140715299
KCNMA1|3778	chr10	78629359	79397577
KCNMB1|3779	chr5	169805167	169816638
KCNMB2|10242	chr3	178254224	178562216
KCNMB3|27094	chr3	178957537	178984838
KCNMB4|27345	chr12	70760062	70824977
KCNN1|3780	chr19	18062111	18109929
KCNN2|3781	chr5	113698016	113832196
KCNN3|3782	chr1	154679917	154842754
KCNN4|3783	chr19	44270687	44285409
KCNQ1DN|55539	chr11	2891263	2893333
KCNQ1OT1|10984	chr11	2661768	2721228
KCNQ1|3784	chr11	2466221	2870339
KCNQ2|3785	chr20	62037542	62103993
KCNQ3|3786	chr8	133141257	133493004
KCNQ4|9132	chr1	41249684	41304360
KCNQ5|56479	chr6	73331571	73908571
KCNRG|283518	chr13	50589390	50595057
KCNS1|3787	chr20	43720951	43729753
KCNS2|3788	chr8	99439250	99443021
KCNS3|3790	chr2	18059114	18114224
KCNT1|57582	chr9	138594031	138684992
KCNT2|343450	chr1	196194913	196577499
KCNU1|157855	chr8	36641842	36793641
KCNV1|27012	chr8	110979235	110988076
KCNV2|169522	chr9	2717526	2729757
KCP|375616	chr7	128502505	128550773
KCTD10|83892	chr12	109886460	109915155
KCTD11|147040	chr17	7255208	7258260
KCTD12|115207	chr13	77454304	77460540
KCTD13|253980	chr16	29916333	29937545
KCTD14|65987	chr11	77726762	77734320
KCTD15|79047	chr19	34287751	34306665
KCTD16|57528	chr5	143550437	143856944
KCTD17|79734	chr22	37447779	37459429
KCTD18|130535	chr2	201353686	201374792
KCTD19|146212	chr16	67323393	67360661
KCTD1|284252	chr18	24034877	24220308
KCTD20|222658	chr6	36410544	36458313
KCTD21|283219	chr11	77882301	77899664
KCTD2|23510	chr17	73028695	73061979
KCTD3|51133	chr1	215740735	215795147
KCTD4|386618	chr13	45766990	45775175
KCTD5|54442	chr16	2732495	2759029
KCTD6|200845	chr3	58477823	58488085
KCTD7|154881	chr7	66093890	66108032
KCTD8|386617	chr4	44175922	44450824
KCTD9|54793	chr8	25285366	25315920
KDELC1|79070	chr13	103436632	103451404
KDELC2|143888	chr11	108342833	108369159
KDELR1|10945	chr19	48885827	48894810
KDELR2|11014	chr7	6500713	6523849
KDELR3|11015	chr22	38864083	38879444
KDM1A|23028	chr1	23345941	23410184
KDM1B|221656	chr6	18155619	18224084
KDM2A|22992	chr11	66886740	67025542
KDM2B|84678	chr12	121866902	122018920
KDM3A|55818	chr2	86668271	86719838
KDM3B|51780	chr5	137688285	137772716
KDM4A|9682	chr1	44115797	44171188
KDM4B|23030	chr19	4969124	5153606
KDM4C|23081	chr9	6716495	7175647
KDM4DL|390245	chr11	94758422	94760760
KDM4D|55693	chr11	94706845	94732674
KDM5A|5927	chr12	389223	498620
KDM5B|10765	chr1	202696533	202777549
KDM5C|8242	chr23	53205461	53254604
KDM5D|8284	chr24	21867303	21906825
KDM6A|7403	chr23	44732423	44971843
KDM6B|23135	chr17	7743235	7758118
KDR|3791	chr4	55944427	55991762
KDSR|2531	chr18	60994972	61034506
KEAP1|9817	chr19	10596796	10614054
KEL|3792	chr7	142638203	142659503
KERA|11081	chr12	91444273	91452131
KGFLP1|387628	chr9	46687566	46748385
KGFLP2|654466	chr9	41958803	42019584
KHDC1L|100129128	chr6	73933270	73935175
KHDC1|80759	chr6	73919471	74019938
KHDRBS1|10657	chr1	32479491	32526450
KHDRBS2|202559	chr6	62389865	62996100
KHDRBS3|10656	chr8	136469716	136659846
KHK|3795	chr2	27309611	27323619
KHNYN|23351	chr14	24898492	24910545
KHSRP|8570	chr19	6413121	6424822
KIAA0020|9933	chr9	2804155	2844130
KIAA0040|9674	chr1	175126123	175162229
KIAA0087|9808	chr7	26572740	26578444
KIAA0090|23065	chr1	19544585	19578046
KIAA0100|9703	chr17	26941459	26972173
KIAA0101|9768	chr15	64657213	64673702
KIAA0114|57291	chr4	53578621	53580305
KIAA0125|9834	chr14	106355980	106398500
KIAA0141|9812	chr5	141303385	141321611
KIAA0146|23514	chr8	48173542	48678652
KIAA0174|9798	chr16	71924472	71962906
KIAA0182|23199	chr16	85645029	85709810
KIAA0195|9772	chr17	73452664	73496530
KIAA0196|9897	chr8	126036505	126104061
KIAA0226|9711	chr3	197398259	197476568
KIAA0232|9778	chr4	6784459	6885897
KIAA0240|23506	chr6	42749790	42836296
KIAA0247|9766	chr14	70078310	70181859
KIAA0284|283638	chr14	105331654	105363086
KIAA0317|9870	chr14	75127957	75179807
KIAA0319L|79932	chr1	35899092	36023551
KIAA0319|9856	chr6	24544332	24646383
KIAA0355|9710	chr19	34745456	34846470
KIAA0368|23392	chr9	114122973	114247025
KIAA0391|9692	chr14	35591776	35786673
KIAA0406|9675	chr20	36611425	36661833
KIAA0408|9729	chr6	127759552	127780535
KIAA0415|9907	chr7	4815264	4831397
KIAA0427|9811	chr18	46065427	46389578
KIAA0430|9665	chr16	15688245	15737009
KIAA0467|23334	chr1	43855556	43918304
KIAA0494|9813	chr1	47124359	47184736
KIAA0495|57212	chr1	3652550	3663886
KIAA0513|9764	chr16	85061375	85127826
KIAA0528|9847	chr12	22601526	22697452
KIAA0556|23247	chr16	27561468	27791691
KIAA0562|9731	chr1	3728645	3773797
KIAA0564|23078	chr13	42140962	42535221
KIAA0586|9786	chr14	58894120	59015548
KIAA0649|9858	chr9	138371648	138380739
KIAA0652|9776	chr11	46638826	46696367
KIAA0664P3|100132341	chr16	31711934	31718743
KIAA0664|23277	chr17	2592680	2614927
KIAA0748|9840	chr12	55343865	55378456
KIAA0753|9851	chr17	6481646	6544247
KIAA0754|643314	chr1	39875176	39882154
KIAA0776|23376	chr6	96969702	97003149
KIAA0802|23255	chr18	8707409	8832775
KIAA0831|22863	chr14	55833110	55878576
KIAA0892|23383	chr19	19431630	19469562
KIAA0895L|653319	chr16	67209506	67217943
KIAA0895|23366	chr7	36363759	36429734
KIAA0907|22889	chr1	155882836	155904188
KIAA0913|23053	chr10	75545335	75561550
KIAA0922|23240	chr4	154387498	154557860
KIAA0947|23379	chr5	5422807	5490337
KIAA1009|22832	chr6	84833961	84937335
KIAA1012|22878	chr18	29409137	29523099
KIAA1024|23251	chr15	79724858	79764642
KIAA1033|23325	chr12	105501492	105562904
KIAA1045|23349	chr9	34957521	34982542
KIAA1107|23285	chr1	92632609	92650279
KIAA1109|84162	chr4	123091758	123283905
KIAA1143|57456	chr3	44790239	44803173
KIAA1147|57189	chr7	141356530	141401953
KIAA1161|57462	chr9	34368908	34376894
KIAA1191|57179	chr5	175773068	175788809
KIAA1199|57214	chr15	81071712	81243999
KIAA1210|57481	chr23	118212599	118284542
KIAA1211|57482	chr4	57036361	57196890
KIAA1217|56243	chr10	23983675	24836771
KIAA1239|57495	chr4	37246690	37451086
KIAA1244|57221	chr6	138483224	138659936
KIAA1257|57501	chr3	128628709	128712986
KIAA1267|284058	chr17	44107283	44302717
KIAA1274|27143	chr10	72238564	72328205
KIAA1279|26128	chr10	70748493	70776734
KIAA1310|55683	chr2	97258916	97304115
KIAA1324L|222223	chr7	86509238	86689014
KIAA1324|57535	chr1	109656533	109749401
KIAA1328|57536	chr18	34409080	34809848
KIAA1370|56204	chr15	52873523	52970953
KIAA1377|57562	chr11	101785746	101871791
KIAA1383|54627	chr1	232940638	232946092
KIAA1407|57577	chr3	113682986	113775460
KIAA1409|57578	chr14	93799565	94173689
KIAA1429|25962	chr8	95500600	95565688
KIAA1430|57587	chr4	186080823	186125182
KIAA1432|57589	chr9	5629327	5776554
KIAA1462|57608	chr10	30301729	30404420
KIAA1467|57613	chr12	13197315	13236381
KIAA1468|57614	chr18	59854524	59974354
KIAA1486|57624	chr2	226265602	226595471
KIAA1522|57648	chr1	33207512	33240571
KIAA1524|57650	chr3	108268720	108308491
KIAA1529|57653	chr9	100000779	100139569
KIAA1530|57654	chr4	1341104	1381836
KIAA1539|80256	chr9	35104120	35115893
KIAA1543|57662	chr19	7660788	7683194
KIAA1549|57670	chr7	138516129	138666064
KIAA1586|57691	chr6	56911384	56920021
KIAA1598|57698	chr10	118644308	118886097
KIAA1609|57707	chr16	84509968	84538288
KIAA1614|57710	chr1	180882313	180919922
KIAA1632|57724	chr18	43427575	43547305
KIAA1644|85352	chr22	44639557	44708731
KIAA1671|85379	chr22	25423941	25593413
KIAA1683|80726	chr19	18367906	18385319
KIAA1704|55425	chr13	45563687	45607742
KIAA1712|80817	chr4	175204828	175254531
KIAA1715|80856	chr2	176790410	176867514
KIAA1731|85459	chr11	93394816	93463522
KIAA1737|85457	chr14	77564578	77583629
KIAA1751|85452	chr1	1884752	1935276
KIAA1755|85449	chr20	36838907	36889174
KIAA1797|54914	chr9	20658309	20995954
KIAA1804|84451	chr1	233463514	233520893
KIAA1826|84437	chr11	105878630	105892954
KIAA1841|84542	chr2	61293006	61365168
KIAA1875|340390	chr8	145162629	145173218
KIAA1908|114796	chr7	1609709	1629259
KIAA1919|91749	chr6	111580482	111590259
KIAA1949|170954	chr6	30644168	30655672
KIAA1958|158405	chr9	115249248	115422706
KIAA1967|57805	chr8	22462257	22477981
KIAA1984|84960	chr9	139690802	139702192
KIAA2013|90231	chr1	11980124	11986480
KIAA2018|205717	chr3	113367235	113415493
KIAA2022|340533	chr23	73952692	74145287
KIAA2026|158358	chr9	5919010	6008003
KIDINS220|57498	chr2	8865690	8977755
KIF11|3832	chr10	94352825	94415150
KIF12|113220	chr9	116853920	116861507
KIF13A|63971	chr6	17760585	17987799
KIF13B|23303	chr8	28924796	29120610
KIF14|9928	chr1	200520625	200589862
KIF15|56992	chr3	44803209	44894746
KIF16B|55614	chr20	16252749	16554078
KIF17|57576	chr1	20990509	21044317
KIF18A|81930	chr11	28042163	28129746
KIF18B|146909	chr17	43002079	43025082
KIF19|124602	chr17	72322351	72351958
KIF1A|547	chr2	241653185	241759624
KIF1B|23095	chr1	10270764	10441659
KIF1C|10749	chr17	4901276	4927996
KIF20A|10112	chr5	137514417	137523403
KIF20B|9585	chr10	91461367	91534700
KIF21A|55605	chr12	39687031	39836918
KIF21B|23046	chr1	200938520	200992828
KIF22|3835	chr16	29802058	29816706
KIF23|9493	chr15	69706688	69740759
KIF24|347240	chr9	34211975	34329198
KIF25|3834	chr6	168399772	168445769
KIF26A|26153	chr14	104605060	104647234
KIF26B|55083	chr1	245318287	245866428
KIF27|55582	chr9	86451617	86536342
KIF2A|3796	chr5	61601989	61682209
KIF2B|84643	chr17	51900239	51902573
KIF2C|11004	chr1	45205490	45233436
KIF3A|11127	chr5	132028325	132073265
KIF3B|9371	chr20	30865467	30922809
KIF3C|3797	chr2	26149455	26205443
KIF4A|24137	chr23	69509895	69640735
KIF4B|285643	chr5	154393260	154397685
KIF5A|3798	chr12	57943847	57978554
KIF5B|3799	chr10	32297940	32345371
KIF5C|3800	chr2	149632819	149883273
KIF6|221458	chr6	39302876	39693181
KIF7|374654	chr15	90171201	90198682
KIF9|64147	chr3	47269517	47324337
KIFAP3|22920	chr1	169890472	170043879
KIFC1|3833	chr6	33359313	33377697
KIFC2|90990	chr8	145691738	145699498
KIFC3|3801	chr16	57792131	57896733
KILLIN|100144748	chr10	89618919	89623194
KIN|22944	chr10	7795276	7829944
KIR2DL1|3802	chr19	55250953	55295778
KIR2DL3|3804	chr19	55235984	55295778
KIR2DL4|3805	chr19	55297807	55325971
KIR2DS4|3809	chr19	55266474	55367367
KIR3DL1|3811	chr19	55327893	55378661
KIR3DL2|3812	chr19	55361898	55378661
KIR3DL3|115653	chr19	55235984	55248003
KIR3DP1|768329	chr19	55266474	55309738
KIR3DX1|90011	chr19	55043909	55055195
KIRREL2|84063	chr19	36347810	36358047
KIRREL3|84623	chr11	126293397	126873355
KIRREL|55243	chr1	157963063	158065842
KISS1R|84634	chr19	917342	921014
KISS1|3814	chr1	204159470	204165619
KITLG|4254	chr12	88886569	88974238
KIT|3815	chr4	55524095	55606879
KLB|152831	chr4	39408473	39453151
KLC1|3831	chr14	104029299	104167887
KLC2|64837	chr11	66024765	66035332
KLC3|147700	chr19	45843998	45854778
KLC4|89953	chr6	43008515	43042833
KLF10|7071	chr8	103661005	103667983
KLF11|8462	chr2	10183682	10194963
KLF12|11278	chr13	74260150	74708394
KLF13|51621	chr15	31619083	31670101
KLF14|136259	chr7	130417478	130418860
KLF15|28999	chr3	126061478	126076236
KLF16|83855	chr19	1852399	1863564
KLF17|128209	chr1	44514030	44600807
KLF1|10661	chr19	12995239	12998017
KLF2|10365	chr19	16435651	16438337
KLF3|51274	chr4	38665790	38703128
KLF4|9314	chr9	110247135	110252047
KLF5|688	chr13	73629114	73651675
KLF6|1316	chr10	3818189	3827473
KLF7|8609	chr2	207945529	208031571
KLF8|11279	chr23	56258822	56314320
KLF9|687	chr9	72999515	73029573
KLHDC10|23008	chr7	129710349	129773593
KLHDC1|122773	chr14	50159885	50219862
KLHDC2|23588	chr14	50234787	50249855
KLHDC3|116138	chr6	42981977	42989029
KLHDC4|54758	chr16	87736729	87799542
KLHDC5|57542	chr12	27933187	27955972
KLHDC7A|127707	chr1	18807424	18812539
KLHDC7B|113730	chr22	50986462	50989451
KLHDC8A|55220	chr1	205305648	205326166
KLHDC8B|200942	chr3	49209068	49213918
KLHDC9|126823	chr1	161068154	161070134
KLHL10|317719	chr17	39994043	40004597
KLHL11|55175	chr17	40009799	40021629
KLHL12|59349	chr1	202860230	202897727
KLHL13|90293	chr23	117031777	117250788
KLHL14|57565	chr18	30252634	30352974
KLHL15|80311	chr23	24001836	24045303
KLHL17|339451	chr1	895967	901095
KLHL18|23276	chr3	47324330	47388305
KLHL1|57626	chr13	70274726	70682625
